[2024-05-09 07:17:15,896] INFO [QuorumController id=1] CreateTopics result(s): CreatableTopic(name='connect-offsets', numPartitions=25, replicationFactor=1, assignments=[], configs=[CreateableTopicConfig(name='cleanup.policy', value='compact')]): TOPIC_ALREADY_EXISTS (Topic 'connect-offsets' already exists.) (org.apache.kafka.controller.ReplicationControlManager)
[2024-05-09 07:17:16,153] INFO [QuorumController id=1] CreateTopics result(s): CreatableTopic(name='connect-status', numPartitions=5, replicationFactor=1, assignments=[], configs=[CreateableTopicConfig(name='cleanup.policy', value='compact')]): TOPIC_ALREADY_EXISTS (Topic 'connect-status' already exists.) (org.apache.kafka.controller.ReplicationControlManager)
[2024-05-09 07:17:16,277] INFO [QuorumController id=1] CreateTopics result(s): CreatableTopic(name='connect-configs', numPartitions=1, replicationFactor=1, assignments=[], configs=[CreateableTopicConfig(name='cleanup.policy', value='compact')]): TOPIC_ALREADY_EXISTS (Topic 'connect-configs' already exists.) (org.apache.kafka.controller.ReplicationControlManager)
[2024-05-09 07:19:14,050] INFO [QuorumController id=1] Unfenced broker 1 has requested and been granted a controlled shutdown. (org.apache.kafka.controller.BrokerHeartbeatManager)
[2024-05-09 07:19:14,062] INFO [QuorumController id=1] enterControlledShutdown[1]: changing 133 partition(s) (org.apache.kafka.controller.ReplicationControlManager)
[2024-05-09 07:19:14,062] INFO [QuorumController id=1] Replayed BrokerRegistrationChangeRecord modifying the registration for broker 1: BrokerRegistrationChangeRecord(brokerId=1, brokerEpoch=9, fenced=0, inControlledShutdown=1, logDirs=[]) (org.apache.kafka.controller.ClusterControlManager)
[2024-05-09 07:19:14,143] INFO [QuorumController id=1] The request from broker 1 to shut down has been granted since the lowest active offset 9223372036854775807 is now greater than the broker's controlled shutdown offset 10398. (org.apache.kafka.controller.BrokerHeartbeatManager)
[2024-05-09 07:19:14,157] INFO [QuorumController id=1] Replayed BrokerRegistrationChangeRecord modifying the registration for broker 1: BrokerRegistrationChangeRecord(brokerId=1, brokerEpoch=9, fenced=1, inControlledShutdown=0, logDirs=[]) (org.apache.kafka.controller.ClusterControlManager)
[2024-05-09 07:19:14,676] INFO [QuorumController id=1] writeNoOpRecord: event unable to start processing because of RejectedExecutionException (treated as TimeoutException). (org.apache.kafka.controller.QuorumController)
[2024-05-09 07:19:14,676] INFO [QuorumController id=1] maybeBalancePartitionLeaders: event unable to start processing because of RejectedExecutionException (treated as TimeoutException). (org.apache.kafka.controller.QuorumController)
[2024-05-09 07:20:24,735] INFO [QuorumController id=1] Creating new QuorumController with clusterId gInvKiKeSA2z2QcSnkbFGQ. (org.apache.kafka.controller.QuorumController)
[2024-05-09 07:20:24,737] INFO [QuorumController id=1] Starting to load snapshot 00000000000000007361-0000000001. Previous lastCommittedOffset was -1. Previous transactionStartOffset was -1. (org.apache.kafka.controller.OffsetControlManager)
[2024-05-09 07:20:24,743] INFO [QuorumController id=1] Replayed a FeatureLevelRecord setting metadata version to 3.7-IV4 (org.apache.kafka.controller.FeatureControlManager)
[2024-05-09 07:20:24,745] INFO [QuorumController id=1] Replayed initial RegisterBrokerRecord for broker 1: RegisterBrokerRecord(brokerId=1, isMigratingZkBroker=false, incarnationId=Ph33nHfOSVu11vIGk-XrGw, brokerEpoch=9, endPoints=[BrokerEndpoint(name='BROKER', host='localhost', port=9092, securityProtocol=2)], features=[BrokerFeature(name='metadata.version', minSupportedVersion=1, maxSupportedVersion=19)], rack=null, fenced=false, inControlledShutdown=false, logDirs=[dJ-fChn9-iLMCprII14Ehw]) (org.apache.kafka.controller.ClusterControlManager)
[2024-05-09 07:20:24,746] INFO [QuorumController id=1] Replayed RegisterControllerRecord contaning ControllerRegistration(id=1, incarnationId=lZYko2b_St6rZOXSMv3Opg, zkMigrationReady=false, listeners=[Endpoint(listenerName='CONTROLLER', securityProtocol=PLAINTEXT, host='localhost', port=9093)], supportedFeatures={metadata.version: 1-19}). (org.apache.kafka.controller.ClusterControlManager)
[2024-05-09 07:20:24,747] INFO [QuorumController id=1] Replayed TopicRecord for topic __consumer_offsets with topic ID ggc3pufQQYOtcgveQIzyuA. (org.apache.kafka.controller.ReplicationControlManager)
[2024-05-09 07:20:24,747] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-0 with topic ID ggc3pufQQYOtcgveQIzyuA and PartitionRegistration(replicas=[1], directories=[dJ-fChn9-iLMCprII14Ehw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-05-09 07:20:24,748] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-1 with topic ID ggc3pufQQYOtcgveQIzyuA and PartitionRegistration(replicas=[1], directories=[dJ-fChn9-iLMCprII14Ehw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-05-09 07:20:24,749] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-2 with topic ID ggc3pufQQYOtcgveQIzyuA and PartitionRegistration(replicas=[1], directories=[dJ-fChn9-iLMCprII14Ehw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-05-09 07:20:24,749] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-3 with topic ID ggc3pufQQYOtcgveQIzyuA and PartitionRegistration(replicas=[1], directories=[dJ-fChn9-iLMCprII14Ehw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-05-09 07:20:24,749] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-4 with topic ID ggc3pufQQYOtcgveQIzyuA and PartitionRegistration(replicas=[1], directories=[dJ-fChn9-iLMCprII14Ehw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-05-09 07:20:24,749] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-5 with topic ID ggc3pufQQYOtcgveQIzyuA and PartitionRegistration(replicas=[1], directories=[dJ-fChn9-iLMCprII14Ehw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-05-09 07:20:24,749] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-6 with topic ID ggc3pufQQYOtcgveQIzyuA and PartitionRegistration(replicas=[1], directories=[dJ-fChn9-iLMCprII14Ehw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-05-09 07:20:24,749] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-7 with topic ID ggc3pufQQYOtcgveQIzyuA and PartitionRegistration(replicas=[1], directories=[dJ-fChn9-iLMCprII14Ehw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-05-09 07:20:24,749] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-8 with topic ID ggc3pufQQYOtcgveQIzyuA and PartitionRegistration(replicas=[1], directories=[dJ-fChn9-iLMCprII14Ehw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-05-09 07:20:24,749] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-9 with topic ID ggc3pufQQYOtcgveQIzyuA and PartitionRegistration(replicas=[1], directories=[dJ-fChn9-iLMCprII14Ehw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-05-09 07:20:24,749] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-10 with topic ID ggc3pufQQYOtcgveQIzyuA and PartitionRegistration(replicas=[1], directories=[dJ-fChn9-iLMCprII14Ehw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
